Technology (Process),Explanation
IOISTMGMX00,TIMES process: IOISTMGMX00
IOISTMHET01,TIMES process: IOISTMHET01
IOISTMHFO00,TIMES process: IOISTMHFO00
IOISTMLFO00,TIMES process: IOISTMLFO00
IOISTMLPG00,TIMES process: IOISTMLPG00
IPOHTHSTMBGS01,TIMES process: IPOHTHSTMBGS01
IPOHTHSTMCPS01,TIMES process: IPOHTHSTMCPS01
IPOPREPA00,TIMES process: IPOPREPA00
IPOPREPA03,TIMES process: IPOPREPA03
IPOPREPA04,TIMES process: IPOPREPA04
IPOSTMGAS00,TIMES process: IPOSTMGAS00
IPOSTMOIL00,TIMES process: IPOSTMOIL00
IPPHIGQUA00,Industry: Pulp and paper - High quality production
IPPHIGQUA05,TIMES process: IPPHIGQUA05
IPPHIGQUA55,TIMES process: IPPHIGQUA55
IPPPACELC01,TIMES process: IPPPACELC01
IPPPRCBIO01,TIMES process: IPPPRCBIO01
IPPPRCCOA01,TIMES process: IPPPRCCOA01
IPPPRCGAS00,TIMES process: IPPPRCGAS00
IPPPRCGMX01,TIMES process: IPPPRCGMX01
IPPPRCHFO00,TIMES process: IPPPRCHFO00
IPPPRCLFO00,TIMES process: IPPPRCLFO00
IPPPRCLPG00,TIMES process: IPPPRCLPG00
IPPPUPCHE00,TIMES process: IPPPUPCHE00
IPPPUPCHE01,TIMES process: IPPPUPCHE01
IPPPUPIMP00,Import of Unknown
IPPSTMGMX01,TIMES process: IPPSTMGMX01
IPPSTMHH201,TIMES process: IPPSTMHH201
ISGHTHSTMGMX01,TIMES process: ISGHTHSTMGMX01
ISGPREPA00,TIMES process: ISGPREPA00
ISGPREPA01,TIMES process: ISGPREPA01
ISGPROD00,TIMES process: ISGPROD00
ISGPROD01,TIMES process: ISGPROD01
ISGSTMGAS00,TIMES process: ISGSTMGAS00
ISGSTMOIL00,TIMES process: ISGSTMOIL00
ISGSTMSOLID00,TIMES process: ISGSTMSOLID00
MINBIOBOU,Extraction of Unknown
MINBIOCPS,Mining: Wood chips extraction
MINBIOCRP11,Extraction of Unknown
MINBIOCUL,Extraction of Unknown
MINBIOEFF,Extraction of Unknown
MINBIOGAS,Mining: Biogas extraction
MINBIOGZH,Extraction of Unknown
MINBIOLOG,Mining: Wood logs extraction
MINBIORPS1,Extraction of Unknown
MINBIOSLU,Extraction of -
MINBIOSLUH,Extraction of -
MINCETGAS,Extraction of Natural Gas
MINMBOWOO1,Extraction of Unknown
MINMCOWIM1,Extraction of Carbon Dioxide
MINMCUPDT,Extraction of Unknown
MINMGHRYC1,Extraction of Hydrogen
MINMISGBE1,Extraction of Unknown
MINMISORE1,Mining: Iron and Steel ore extraction
MINMISOXY1,Mining: Oxygen extraction (Iron and Steel)
MINMISQLI1,Mining: Quick lime extraction (Iron and Steel)
MINMISSCR1,Mining: Scrap iron extraction
MINMLMSTN1,Mining: Limestone extraction
MINMPPNOH1,Mining: Sodium hydroxide extraction (Paper)
MINMPPOXY1,Mining: Oxygen extraction (Paper)
MINMPPWOO1,Mining: Wood extraction (Paper)
MINNREWST,Extraction of Municipal waste (optional)
MINRENGEO,Mining: Geothermal extraction
MINRENHYD,Mining: Hydro resource extraction
MINRENSOL,Mining: Solar resource extraction
MINRENWIN,Mining: Wind resource extraction
NECDEMAND00,Non Energy Uses in Chemical sector - Demand process
NEODEMAND00,Other Non Energy Uses - Demand process
RCDRELC100,TIMES process: RCDRELC100
RCDRELC201,TIMES process: RCDRELC201
RCOKCOA100,TIMES process: RCOKCOA100
RCOKELC100,TIMES process: RCOKELC100
RCOKELC101,TIMES process: RCOKELC101
RCOKGAS101,TIMES process: RCOKGAS101
RCOKGMX100,TIMES process: RCOKGMX100
RCOKLOG100,TIMES process: RCOKLOG100
RCOKLPG100,TIMES process: RCOKLPG100
RCWAELC100,TIMES process: RCWAELC100
RCWAELC101,TIMES process: RCWAELC101
RCWAELC200,TIMES process: RCWAELC200
RDWAELC100,TIMES process: RDWAELC100
RDWAELC101,TIMES process: RDWAELC101
RDW_R_2Fac,TIMES process: RDW_R_2Fac
RDW_R_3Fac,TIMES process: RDW_R_3Fac
RDW_R_4Fac,TIMES process: RDW_R_4Fac
RDW_R_Appa,TIMES process: RDW_R_Appa
RDW_R_N2F,TIMES process: RDW_R_N2F
RDW_R_N3F,TIMES process: RDW_R_N3F
RDW_R_N4F,TIMES process: RDW_R_N4F
RDW_R_NAP,TIMES process: RDW_R_NAP
RH2FCOA100,Residential: Space heating - 2-family building (coal)
RH2FELC100,Residential: Space heating - 2-family building (electricity)
RH2FELC200,Residential: Space heating - 2-family building (electricity)
RH2FELCHPN2,Residential: Space heating - 2-family building (CHP)
RH2FELCN1,Residential: Space heating - 2-family building (electricity, new)
RH2FGEO100,Residential: Space heating - 2-family building (geothermal)
RH2FGMX100,Residential: Space heating - 2-family building (gas)
RH2FGMXN1,Residential: Space heating - 2-family building (gas, new)
RH2FHETN1,Residential: Space heating - 2-family building (district heat)
RH2FLOG100,Residential: Space heating - 2-family building (wood logs)
RH2FLPG100,Residential: Space heating - 2-family building (LPG)
RH2FOIL100,Residential: Space heating - 2-family building (oil)
RH2FOILN1,Residential: Space heating - 2-family building (oil, new)
RH2FPEL100,Residential: Space heating - 2-family building (pellets)
RH3FCOA100,Residential: Space heating - 3-family building (coal)
RH3FELC100,Residential: Space heating - 3-family building (electricity)
RH3FELC200,Residential: Space heating - 3-family building (electricity)
RH3FELCHPN2,Residential: Space heating - 3-family building (CHP)
RH3FELCN1,Residential: Space heating - 3-family building (electricity, new)
RH3FGEO100,Residential: Space heating - 3-family building (geothermal)
RH3FGMX100,Residential: Space heating - 3-family building (gas)
RH3FGMXN1,Residential: Space heating - 3-family building (gas, new)
RH3FHETN1,Residential: Space heating - 3-family building (district heat)
RH3FLOG100,Residential: Space heating - 3-family building (wood logs)
RH3FLPG100,Residential: Space heating - 3-family building (LPG)
RH3FOIL100,Residential: Space heating - 3-family building (oil)
RH3FOILN1,Residential: Space heating - 3-family building (oil, new)
RH3FPEL100,Residential: Space heating - 3-family building (pellets)
RH4FCOA100,Residential: Space heating - 4+ family building (coal)
RH4FELC100,Residential: Space heating - 4+ family building (electricity)
RH4FELC200,Residential: Space heating - 4+ family building (electricity)
RH4FELCHPN2,Residential: Space heating - 4+ family building (CHP)
RH4FELCN1,Residential: Space heating - 4+ family building (electricity, new)
RH4FGEO100,Residential: Space heating - 4+ family building (geothermal)
RH4FGMX100,Residential: Space heating - 4+ family building (gas)
RH4FGMXN1,Residential: Space heating - 4+ family building (gas, new)
RH4FHETN1,Residential: Space heating - 4+ family building (district heat)
RH4FLOG100,Residential: Space heating - 4+ family building (wood logs)
RH4FLPG100,Residential: Space heating - 4+ family building (LPG)
RH4FOIL100,Residential: Space heating - 4+ family building (oil)
RH4FOILN1,Residential: Space heating - 4+ family building (oil, new)
RH4FPEL100,Residential: Space heating - 4+ family building (pellets)
RHAPCOA100,Residential: Space heating - Apartment building (coal)
RHAPELC100,Residential: Space heating - Apartment building (electricity)
RHAPELC200,Residential: Space heating - Apartment building (electricity)
RHAPELCHPN2,Residential: Space heating - Apartment building (CHP)
RHAPELCN1,Residential: Space heating - Apartment building (electricity, new)
RHAPGEO100,Residential: Space heating - Apartment building (geothermal)
RHAPGMX100,Residential: Space heating - Apartment building (gas)
RHAPGMXN2,Residential: Space heating - Apartment building (gas, new)
RHAPHETN1,Residential: Space heating - Apartment building (district heat)
RHAPLOG100,Residential: Space heating - Apartment building (wood logs)
RHAPLPG100,Residential: Space heating - Apartment building (LPG)
RHAPOIL100,Residential: Space heating - Apartment building (oil)
RHAPOILN1,Residential: Space heating - Apartment building (oil, new)
RHAPPEL100,Residential: Space heating - Apartment building (pellets)
RHN2FELCHPN2,Residential: Space heating - 2-family building (CHP)
RHN3FELCHPN2,Residential: Space heating - 3-family building (CHP)
RHN4FELCHPN2,Residential: Space heating - 4+ family building (CHP)
RHNAPELCHPN2,Residential: Space heating - Apartment building (CHP)
RLIGELC200,Residential: Lighting - 2-family building (electricity)
RLIGELC300,Residential: Lighting - 3-family building (electricity)
RLIGELC400,Residential: Lighting - 4+ family building (electricity)
RLIGELC401,Residential: Lighting - 4+ family building (electricity)
RLIGELC500,Residential: Lighting - 5+ family building (electricity)
ROELELC100,TIMES process: ROELELC100
ROELELC101,TIMES process: ROELELC101
ROENGSL100,TIMES process: ROENGSL100
ROENGSL101,TIMES process: ROENGSL101
RREFELC100,TIMES process: RREFELC100
RREFELC200,TIMES process: RREFELC200
RREFELC300,TIMES process: RREFELC300
RREFELC501,TIMES process: RREFELC501
RSDCOA00,Residential process using Coal
RSDELC00,Residential process using Electricity
RSDGEO00,TIMES process: RSDGEO00
RSDGMX00,Residential process using Biogas
RSDGSL00,Residential process using biomasse
RSDHET00,Residential process using Central heat
RSDHET01,Residential process using Central heat
RSDHET02,Residential process using Central heat
RSDLOG00,Residential process using Solid biomass
RSDLPG00,Residential process using Oil
RSDOIL00,Residential process using Oil
RSDPEL00,Residential process using Solid biomass
RSDPVELC,Residential process using Electricity
RSDSOL00,TIMES process: RSDSOL00
RW2FCOA100,Residential: Water heating - 2-family building (coal)
RW2FELC100,Residential: Water heating - 2-family building (electricity)
RW2FELC101,TIMES process: RW2FELC101
RW2FGMX100,Residential: Water heating - 2-family building (gas)
RW2FGMXN1,TIMES process: RW2FGMXN1
RW2FLOG100,Residential: Water heating - 2-family building (wood logs)
RW2FLPG100,Residential: Water heating - 2-family building (LPG)
RW2FOIL100,Residential: Water heating - 2-family building (oil)
RW2FOILN1,TIMES process: RW2FOILN1
RW2FPEL100,Residential: Water heating - 2-family building (pellets)
RW2FPELN1,TIMES process: RW2FPELN1
RW2FSOL100,Residential: Water heating - 2-family building (solar)
RW3FCOA100,Residential: Water heating - 3-family building (coal)
RW3FELC100,Residential: Water heating - 3-family building (electricity)
RW3FELC101,TIMES process: RW3FELC101
RW3FGMX100,Residential: Water heating - 3-family building (gas)
RW3FGMXN3,TIMES process: RW3FGMXN3
RW3FLOG100,TIMES process: RW3FLOG100
RW3FLPG100,TIMES process: RW3FLPG100
RW3FOIL100,TIMES process: RW3FOIL100
RW3FOILN3,TIMES process: RW3FOILN3
RW3FPEL100,TIMES process: RW3FPEL100
RW3FPELN3,TIMES process: RW3FPELN3
RW3FSOL100,TIMES process: RW3FSOL100
RW4FELC100,TIMES process: RW4FELC100
RW4FELC101,TIMES process: RW4FELC101
RW4FGMX100,TIMES process: RW4FGMX100
RW4FGMXN1,TIMES process: RW4FGMXN1
RW4FLOG100,TIMES process: RW4FLOG100
RW4FLPG100,TIMES process: RW4FLPG100
RW4FOIL100,TIMES process: RW4FOIL100
RW4FOILN1,TIMES process: RW4FOILN1
RW4FPEL100,TIMES process: RW4FPEL100
RW4FPELN1,TIMES process: RW4FPELN1
RW4FSOL100,TIMES process: RW4FSOL100
RWAPCOA100,Residential: Water heating - Apartment building (coal)
RWAPELC100,Residential: Water heating - Apartment building (electricity)
RWAPELC101,TIMES process: RWAPELC101
RWAPGMX100,Residential: Water heating - Apartment building (gas)
RWAPGMXN1,TIMES process: RWAPGMXN1
RWAPLOG100,Residential: Water heating - Apartment building (wood logs)
RWAPLPG100,Residential: Water heating - Apartment building (LPG)
RWAPOIL100,Residential: Water heating - Apartment building (oil)
RWAPPEL100,Residential: Water heating - Apartment building (pellets)
RWAPSOL100,Residential: Water heating - Apartment building (solar)
RWN2FELCHPN1,TIMES process: RWN2FELCHPN1
RWN2FGMXN1,TIMES process: RWN2FGMXN1
RWN3FELCHPN1,TIMES process: RWN3FELCHPN1
RWN3FGMXN3,TIMES process: RWN3FGMXN3
RWN4FELCHPN1,TIMES process: RWN4FELCHPN1
RWN4FGMXN1,TIMES process: RWN4FGMXN1
RWNAPELCHPN1,TIMES process: RWNAPELCHPN1
RWNAPGMXN1,TIMES process: RWNAPGMXN1
Retrofit-M_C_SA,TIMES process: Retrofit-M_C_SA
Retrofit-S_C_BA,TIMES process: Retrofit-S_C_BA
Retrofit-S_C_BP,TIMES process: Retrofit-S_C_BP
Retrofit-S_C_CO,TIMES process: Retrofit-S_C_CO
Retrofit-S_C_CS,TIMES process: Retrofit-S_C_CS
Retrofit-S_C_EN,TIMES process: Retrofit-S_C_EN
Retrofit-S_C_SA,TIMES process: Retrofit-S_C_SA
Retrofit-S_R_2Fac1958,TIMES process: Retrofit-S_R_2Fac1958
Retrofit-S_R_2Fac1976,TIMES process: Retrofit-S_R_2Fac1976
Retrofit-S_R_3Fac1989,TIMES process: Retrofit-S_R_3Fac1989
Retrofit-S_R_3Fac2005,TIMES process: Retrofit-S_R_3Fac2005
Retrofit-S_R_4Fac1958,TIMES process: Retrofit-S_R_4Fac1958
Retrofit-S_R_4Fac1989,TIMES process: Retrofit-S_R_4Fac1989
Retrofit-S_R_4Fac2005,TIMES process: Retrofit-S_R_4Fac2005
Retrofit-S_R_Appa1945,TIMES process: Retrofit-S_R_Appa1945
Retrofit-S_R_Appa1958,TIMES process: Retrofit-S_R_Appa1958
Retrofit-S_R_Appa1989,TIMES process: Retrofit-S_R_Appa1989
Retrofit-S_R_Appa2005,TIMES process: Retrofit-S_R_Appa2005
Retrofit-T_C_BA,TIMES process: Retrofit-T_C_BA
Retrofit-T_C_BP,TIMES process: Retrofit-T_C_BP
Retrofit-T_C_CO,TIMES process: Retrofit-T_C_CO
Retrofit-T_C_EN,TIMES process: Retrofit-T_C_EN
Retrofit-T_C_SA,TIMES process: Retrofit-T_C_SA
SELCH2EC01_LowAF,TIMES process: SELCH2EC01_LowAF
SELCH2PEM01_LowAF,TIMES process: SELCH2PEM01_LowAF
SGASH2RC01,TIMES process: SGASH2RC01
SGASH2RC02,TIMES process: SGASH2RC02
STORAGEMINELC,Extraction of Electricity
STORAGEMININD,Extraction of Unknown
SUPBGS00,TIMES process: SUPBGS00
SUPDST00,TIMES process: SUPDST00
SUPELC00,TIMES process: SUPELC00
SUPGAS00,TIMES process: SUPGAS00
SUPGMX00,TIMES process: SUPGMX00
TADFKER00,TIMES process: TADFKER00
TADPKER00,TIMES process: TADPKER00
TAIFKER00,TIMES process: TAIFKER00
TAIPKER00,TIMES process: TAIPKER00
TAVDOMBDLFN01,Transportation: Aviation - Domestic biodiesel freight
TAVDOMBDLPN01,Transportation: Aviation - Domestic biodiesel passenger
TAVINTHH2PN01,Transportation: Aviation - International hydrogen passenger
TBUSBDLU00,Transportation: Buses - Biodiesel urban
TBUSDSTC00,Transportation: Buses - Diesel city
TBUSDSTU00,Transportation: Buses - Diesel urban
TBUSDSTUN01,TIMES process: TBUSDSTUN01
TBUSETHCN01,TIMES process: TBUSETHCN01
TBUSGMXU00,Transportation: Buses - Gas urban
TBUSHDSTU00,TIMES process: TBUSHDSTU00
TCARDSTEX00,TIMES process: TCARDSTEX00
TCARDSTHEV4EXN01,TIMES process: TCARDSTHEV4EXN01
TCARDSTML00,TIMES process: TCARDSTML00
TCARDSTMLN01,TIMES process: TCARDSTMLN01
TCARDSTMU00,TIMES process: TCARDSTMU00
TCARDSTSM00,TIMES process: TCARDSTSM00
TCARDSTSMN01,TIMES process: TCARDSTSMN01
TCARDTSHEVEX00,TIMES process: TCARDTSHEVEX00
TCARELCEXN01,TIMES process: TCARELCEXN01
TCARELCML00,TIMES process: TCARELCML00
TCARELCMLN01,TIMES process: TCARELCMLN01
TCARELCMUN01,TIMES process: TCARELCMUN01
TCARELCSMN01,TIMES process: TCARELCSMN01
TCARGMXEX00,TIMES process: TCARGMXEX00
TCARGMXML00,TIMES process: TCARGMXML00
TCARGMXMU00,TIMES process: TCARGMXMU00
TCARGSLEX00,TIMES process: TCARGSLEX00
TCARGSLHEVEX00,TIMES process: TCARGSLHEVEX00
TCARGSLHEVML00,TIMES process: TCARGSLHEVML00
TCARGSLHEVMU00,TIMES process: TCARGSLHEVMU00
TCARGSLHYBMLN01,TIMES process: TCARGSLHYBMLN01
TCARGSLML00,TIMES process: TCARGSLML00
TCARGSLMU00,TIMES process: TCARGSLMU00
TCARGSLMUN01,TIMES process: TCARGSLMUN01
TCARGSLSM00,TIMES process: TCARGSLSM00
TCARHGSLEX00,TIMES process: TCARHGSLEX00
TCARHGSLML00,TIMES process: TCARHGSLML00
TCARHGSLMU00,TIMES process: TCARHGSLMU00
TCARHGSLSM00,TIMES process: TCARHGSLSM00
TCARLPGEX00,TIMES process: TCARLPGEX00
TCARLPGML00,TIMES process: TCARLPGML00
TCARLPGMLN01,TIMES process: TCARLPGMLN01
TCARLPGMU00,TIMES process: TCARLPGMU00
TCARLPGSM00,TIMES process: TCARLPGSM00
TCHARGHOMN01,TIMES process: TCHARGHOMN01
TCHARGHOMSMARTN01,TIMES process: TCHARGHOMSMARTN01
TCHARGWRKN01,TIMES process: TCHARGWRKN01
THDTDSTH200,TIMES process: THDTDSTH200
THDTDSTH2N01,TIMES process: THDTDSTH2N01
THDTDSTH300,TIMES process: THDTDSTH300
THDTDSTH3N01,TIMES process: THDTDSTH3N01
THDTDSTH400,TIMES process: THDTDSTH400
THDTDSTH4N01,TIMES process: THDTDSTH4N01
THDTDSTH500,TIMES process: THDTDSTH500
THDTDSTH5N01,TIMES process: THDTDSTH5N01
THDTDSTHYBH5N01,TIMES process: THDTDSTHYBH5N01
THDTELCH00,TIMES process: THDTELCH00
THDTGH2H5N01,TIMES process: THDTGH2H5N01
THDTGMXH3N01,TIMES process: THDTGMXH3N01
THDTGMXH4N01,TIMES process: THDTGMXH4N01
THDTGMXH5N01,TIMES process: THDTGMXH5N01
THDTGSLH100,TIMES process: THDTGSLH100
TLCVBDLLCN01,TIMES process: TLCVBDLLCN01
TLCVDSTHYBLCN01,TIMES process: TLCVDSTHYBLCN01
TLCVDSTLC00,TIMES process: TLCVDSTLC00
TLCVDSTLCN01,TIMES process: TLCVDSTLCN01
TLCVELCLC00,TIMES process: TLCVELCLC00
TLCVGSLLC00,TIMES process: TLCVGSLLC00
TMOPELC00,Transportation: Motos/other - Electric
TMOPELCN01,TIMES process: TMOPELCN01
TMOPGSL00,Transportation: Motos/other - Gasoline
TMOPGSLN01,TIMES process: TMOPGSLN01
TMOTELCN01,TIMES process: TMOTELCN01
TMOTGSL00,Transportation: Motos/other - Gasoline
TMOTGSLN01,TIMES process: TMOTGSLN01
TNDFDST00,Transportation: Non-domestic freight - Diesel
TRABDL00,Transport process using -
TRABGS00,Transport process using Biogas
TRADST00,Transport process using biomasse
TRAELC00,Transport process using Electricity
TRAETH00,Transport process using -
TRAGH2C04,Transport process using Hydrogen
TRAGMX00,Transport process using Biogas
TRAGSL00,Transport process using biomasse
TRAKER00,Transport process using Oil
TRALH2C01,Transport process using Hydrogen
TRALH2C02_i,Transport process using Hydrogen
TRALPG00,Transport process using Oil
TSTGEVCMIDN01,TIMES process: TSTGEVCMIDN01
TTFELCDST00,TIMES process: TTFELCDST00
TTPELCDST00,TIMES process: TTPELCDST00
